date,product_id,product_name,quantity,unit_price,total_amount,region
2025-04-05,P001,Widget Alpha,12,16.00,192.00,North
2025-04-12,P002,Gadget Beta,8,89.00,712.00,South
2025-04-20,P003,Widget Gamma,18,12.50,225.00,East
2025-05-03,P004,Gadget Delta,6,45.00,270.00,West
2025-05-11,P005,Widget Epsilon,40,3.75,150.00,Central
2025-05-19,P001,Widget Alpha,20,16.00,320.00,North
2025-06-01,P002,Gadget Beta,10,89.00,890.00,South
2025-06-07,P003,Widget Gamma,15,12.50,187.50,East
2025-06-14,P004,Gadget Delta,12,45.00,540.00,West
2025-06-22,P005,Widget Epsilon,35,3.75,131.25,Central
